regiao;estado;coduf;data;semanaEpidemiologica;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos
Nordeste;PI;22;2022-04-17;16;3273227;367984;1;7735;0
Nordeste;PI;22;2022-04-18;16;3273227;367984;0;7735;0
Nordeste;PI;22;2022-04-19;16;3273227;368016;32;7735;0
Nordeste;PI;22;2022-04-20;16;3273227;368020;4;7735;0
Nordeste;PI;22;2022-04-21;16;3273227;368022;2;7735;0
Nordeste;PI;22;2022-04-22;16;3273227;368022;0;7735;0
Nordeste;PI;22;2022-04-23;16;3273227;368022;0;7735;0
Nordeste;PI;22;2022-04-24;17;3273227;368022;0;7735;0
Nordeste;PI;22;2022-04-25;17;3273227;368023;1;7735;0
Nordeste;PI;22;2022-04-26;17;3273227;368026;3;7735;0
Nordeste;PI;22;2022-04-27;17;3273227;368027;1;7735;0
Nordeste;PI;22;2022-04-28;17;3273227;368028;1;7735;0
Nordeste;PI;22;2022-04-29;17;3273227;368030;2;7735;0
Nordeste;PI;22;2022-04-30;17;3273227;368030;0;7736;1
Nordeste;PI;22;2022-05-01;18;3273227;368030;0;7736;0
Nordeste;PI;22;2022-05-02;18;3273227;368030;0;7736;0
Nordeste;PI;22;2022-05-03;18;3273227;368031;1;7736;0
Nordeste;PI;22;2022-05-04;18;3273227;368031;0;7736;0
Nordeste;PI;22;2022-05-05;18;3273227;368034;3;7736;0
Nordeste;PI;22;2022-05-06;18;3273227;368034;0;7736;0
Nordeste;PI;22;2022-05-07;18;3273227;368041;7;7736;0
Nordeste;PI;22;2022-05-08;19;3273227;368042;1;7737;1
Nordeste;PI;22;2022-05-09;19;3273227;368043;1;7737;0
Nordeste;PI;22;2022-05-10;19;3273227;368046;3;7738;1
Nordeste;PI;22;2022-05-11;19;3273227;368054;8;7739;1
Nordeste;PI;22;2022-05-12;19;3273227;368054;0;7739;0
Nordeste;PI;22;2022-05-13;19;3273227;368058;4;7739;0
Nordeste;PI;22;2022-05-14;19;3273227;368059;1;7739;0
Nordeste;PI;22;2022-05-15;20;3273227;368059;0;7739;0
Nordeste;PI;22;2022-05-16;20;3273227;368059;0;7739;0
Nordeste;PI;22;2022-05-17;20;3273227;368066;7;7739;0
Nordeste;PI;22;2022-05-18;20;3273227;368067;1;7742;3
Nordeste;PI;22;2022-05-19;20;3273227;368067;0;7743;1
Nordeste;PI;22;2022-05-20;20;3273227;368068;1;7743;0
Nordeste;PI;22;2022-05-21;20;3273227;368069;1;7743;0
Nordeste;PI;22;2022-05-22;21;3273227;368069;0;7743;0
Nordeste;PI;22;2022-05-23;21;3273227;368069;0;7743;0
Nordeste;PI;22;2022-05-24;21;3273227;368069;0;7744;1
Nordeste;PI;22;2022-05-25;21;3273227;368074;5;7745;1
Nordeste;PI;22;2022-05-26;21;3273227;368076;2;7746;1
Nordeste;PI;22;2022-05-27;21;3273227;368077;1;7746;0
Nordeste;PI;22;2022-05-28;21;3273227;368085;8;7746;0
Nordeste;PI;22;2022-05-29;22;3273227;368086;1;7746;0
Nordeste;PI;22;2022-05-30;22;3273227;368086;0;7746;0
Nordeste;PI;22;2022-05-31;22;3273227;368087;1;7746;0
Nordeste;PI;22;2022-06-01;22;3273227;368097;10;7746;0
Nordeste;PI;22;2022-06-02;22;3273227;368098;1;7746;0
Nordeste;PI;22;2022-06-03;22;3273227;368098;0;7746;0
Nordeste;PI;22;2022-06-04;22;3273227;368101;3;7746;0
Nordeste;PI;22;2022-06-05;23;3273227;368101;0;7746;0
Nordeste;PI;22;2022-06-06;23;3273227;368102;1;7747;1
Nordeste;PI;22;2022-06-07;23;3273227;368103;1;7747;0
Nordeste;PI;22;2022-06-08;23;3273227;368178;75;7748;1
Nordeste;PI;22;2022-06-09;23;3273227;368198;20;7748;0
Nordeste;PI;22;2022-06-10;23;3273227;368228;30;7748;0
Nordeste;PI;22;2022-06-11;23;3273227;368246;18;7748;0
Nordeste;PI;22;2022-06-12;24;3273227;368246;0;7748;0
Nordeste;PI;22;2022-06-13;24;3273227;368246;0;7748;0
Nordeste;PI;22;2022-06-14;24;3273227;368265;19;7748;0
Nordeste;PI;22;2022-06-15;24;3273227;368302;37;7749;1
Nordeste;PI;22;2022-06-16;24;3273227;368347;45;7749;0
Nordeste;PI;22;2022-06-17;24;3273227;368356;9;7749;0
Nordeste;PI;22;2022-06-18;24;3273227;368378;22;7749;0
Nordeste;PI;22;2022-06-19;25;3273227;368379;1;7751;2
Nordeste;PI;22;2022-06-20;25;3273227;368382;3;7752;1
Nordeste;PI;22;2022-06-21;25;3273227;369388;1006;7754;2
Nordeste;PI;22;2022-06-22;25;3273227;370139;751;7755;1
Nordeste;PI;22;2022-06-23;25;3273227;370470;331;7758;3
Nordeste;PI;22;2022-06-24;25;3273227;370914;444;7759;1
Nordeste;PI;22;2022-06-25;25;3273227;371144;230;7760;1
Nordeste;PI;22;2022-06-26;26;3273227;371190;46;7760;0
Nordeste;PI;22;2022-06-27;26;3273227;371210;20;7760;0
Nordeste;PI;22;2022-06-28;26;3273227;371575;365;7762;2
Nordeste;PI;22;2022-06-29;26;3273227;372218;643;7762;0
Nordeste;PI;22;2022-06-30;26;3273227;372612;394;7764;2
Nordeste;PI;22;2022-07-01;26;3273227;373088;476;7764;0
Nordeste;PI;22;2022-07-02;26;3273227;373495;407;7767;3
Nordeste;PI;22;2022-07-03;27;3273227;373555;60;7769;2
Nordeste;PI;22;2022-07-04;27;3273227;373563;8;7771;2
Nordeste;PI;22;2022-07-05;27;3273227;374142;579;7776;5
Nordeste;PI;22;2022-07-06;27;3273227;374780;638;7783;7
Nordeste;PI;22;2022-07-07;27;3273227;375358;578;7784;1
Nordeste;PI;22;2022-07-08;27;3273227;376101;743;7786;2
Nordeste;PI;22;2022-07-09;27;3273227;376786;685;7789;3
Nordeste;PI;22;2022-07-10;28;3273227;376892;106;7793;4
Nordeste;PI;22;2022-07-11;28;3273227;376901;9;7793;0
Nordeste;PI;22;2022-07-12;28;3273227;377482;581;7800;7
Nordeste;PI;22;2022-07-13;28;3273227;378146;664;7806;6
Nordeste;PI;22;2022-07-14;28;3273227;379117;971;7815;9
Nordeste;PI;22;2022-07-15;28;3273227;379879;762;7818;3
Nordeste;PI;22;2022-07-16;28;3273227;380394;515;7826;8
Nordeste;PI;22;2022-07-17;29;3273227;380468;74;7828;2
Nordeste;PI;22;2022-07-18;29;3273227;380536;68;7831;3
Nordeste;PI;22;2022-07-19;29;3273227;381259;723;7838;7
Nordeste;PI;22;2022-07-20;29;3273227;381975;716;7843;5
Nordeste;PI;22;2022-07-21;29;3273227;382579;604;7845;2
Nordeste;PI;22;2022-07-22;29;3273227;383112;533;7849;4
